name,reason
sample_00000118,"In the video, in the opening scene, we see a man sitting in an office environment. His facial expression is relatively calm, with slightly furrowed brows and tightly closed lips. His eyes are looking at the other person, indicating that he is engaged in a serious and earnest conversation. As time goes on, the man blinks constantly and his eyes move, not making direct eye contact with the other person, suggesting that he is contemplating something. At the same time, the noticeable rise and fall of his chest indicates that he sighs. Towards the end of the video, his gaze returns to the other person, but the wrinkles on his forehead become more prominent, suggesting that the conversation is more serious. He also ends the conversation and observes the other person's reaction. In the audio, the character's voice starts off steady and stable, followed by deep breaths and noticeable sighs during subsequent speech, reflecting the character's helplessness and concern. In the text, the subtitle reads: ""Can't be placed? Let the finance and personnel departments prepare a compensation report for me."" This sentence may be the male character's response to the other person's request or suggestion. Based on the facial expressions and body language of the male character in the video clues, he displays a serious, earnest, and thoughtful attitude. The blinking and eye movements indicate that he is considering the other person's request, and the rise and fall of his chest and sighing actions show his helplessness and concern. At the same time, the audio clue of the character's voice being steady and stable, accompanied by deep breaths and noticeable sighs, further emphasizes his feelings of helplessness and concern. Therefore, this sentence may carry a tone of helplessness and concern, expressing the male character's difficulties and issues with the other person's request."
sample_00000126,"In the video, we see a man wearing a white coat who appears to be a doctor. He has a furrowed brow and an open mouth, indicating that he is engaged in a serious conversation. In the middle of the video, his head moves noticeably, suggesting that he is quite animated. Towards the end of the video, he adds hand gestures, seemingly emphasizing his stance or viewpoint. Taking all these clues into consideration, it can be inferred that the doctor in the video is likely engaged in a tense discussion with a colleague or patient, possibly involving treatment plans or other important medical decisions.In the audio, the tone is serious. The person's voice speeds up and becomes louder when expressing, ""When did the doctors on the front line become so timid?"" The emotions appear to be increasingly agitated.In the text, the subtitle reads, ""When someone dies, we must find someone to blame, otherwise we cannot console the departed soul. When did our medicine stoop to the level of scapegoating? When did the doctors on the front line become so timid?"" Based on the video clues of the doctor's furrowed brow, open mouth, noticeable head movements, and added hand gestures, it can be inferred that the doctor is engaged in a tense discussion and is emotionally charged. Additionally, the audio clue describes the doctor's serious tone, increased speed, and volume, indicating heightened emotions. Combining these clues, it can be deduced that the doctor in the video is expressing dissatisfaction and questioning towards the medical field, believing that medicine has stooped to the level of scapegoating and that doctors on the front line have become timid. This suggests that the doctor may feel angry and disappointed about certain issues or phenomena within the healthcare system."
sample_00000153,"In the video, at the beginning of the video, we see a lady with a smile on her face, her mouth slightly upturned, and her eyes slightly squinted, showing a pleasant emotion. Her head is slightly tilted, which is usually a relaxed and friendly posture. Over time, we see her expression become more exaggerated, her mouth opens wider, and her smile becomes more apparent, indicating that she may have heard something more interesting or enjoyable. Taking these images together, it can be inferred that the character in this video is in a positive emotional state and she may be enjoying a relaxed and pleasant conversation. In the audio, the character's voice is cheerful and pleasant, speaking at a fast pace and accompanied by laughter. In the text, the subtitle says, ""Director Bai, you are also paying attention to this matter!"" This sentence may be the lady's surprised and happy reaction to Director Bai. Based on the lady's joyful expression and posture in the video clues, as well as the cheerful and pleasant voice and laughter of the character in the audio clues, we can infer that this sentence is a positive, surprised, and happy response from the lady to Director Bai. The lady may feel surprised and happy about Director Bai's attention, which further supports the speculation that she is in a positive emotional state. Output: In the video, at the beginning, we see a lady with a smiling face, slightly upturned corners of the mouth, and slightly squinted eyes, displaying a joyful emotion. Her head is slightly tilted, which is typically a relaxed and friendly posture. As time goes on, we see her expression becoming more exaggerated, her mouth opening wider, and her smile becoming more evident, indicating that she may have heard something more interesting or pleasant. Taking these images together, it can be inferred that the character in this video is in a positive emotional state and she may be enjoying a relaxed and pleasant conversation. In the audio, the character's voice is cheerful and pleasant, speaking at a fast pace and accompanied by laughter. In the text, the subtitle says, ""Director Bai, you are also paying attention to this matter!"" This sentence may be the lady's surprised and happy reaction to Director Bai. Based on the lady's joyful expression and posture in the video clues, as well as the cheerful and pleasant voice and laughter of the character in the audio clues, we can deduce that this sentence is a positive, surprised, and happy response from the lady to Director Bai. The lady may feel surprised and happy about Director Bai's attention, which further supports the speculation that she is in a positive emotional state."
sample_00000166,"In the video, the screen shows a man leaning slightly forward, which may indicate that he is paying attention to the conversation or trying to express his own viewpoint. In the audio, the phrase ""Ah? I..."" expresses the character's surprise about something that has happened, and at the same time, he seems to want to explain something but stutters and appears nervous. In the text, the subtitle content ""Ah? I..."" suggests that this sentence may be the man's reaction or response to something. Based on the visual clue of the man leaning slightly forward in the video, indicating his focus on the conversation or attempt to express his viewpoint, and the audio clue of the man expressing surprise and nervousness, we can infer that this sentence may be the man's attempt to explain or respond to something that surprised him, but due to nervousness or uncertainty, his expression is stuttered. Therefore, this sentence may carry a sense of confusion or uneasiness, consistent with the man's overall display of nervousness and surprise."
sample_00000174,"In the video, the screen shows a female character making a phone call. At the beginning of the video, she is attentively listening to the conversation. In the following scenes, her facial expression changes noticeably. Her eyes widen, indicating surprise. Her mouth curves upwards, showing a clear smile and expressing joy. Towards the end of the video, she covers her face with her hand, suggesting that she might feel embarrassed or unsure about what she heard. In the audio, the character's tone sounds surprised when saying ""What?"" Additionally, there is a sound of swallowing saliva in the voice, which is a physiological reaction that may occur in response to a tense or stressful situation. In the text, the subtitle says ""What?"" This line is likely the female character's response to the phone call. Based on the facial expression changes of the female character in the video, from attentiveness to surprise and then to joy, as well as her action of covering her face at the end of the video, it can be inferred that this line is a surprised and joyful response to the phone call. Furthermore, based on the audio clues of the character's surprised tone and the sound of swallowing saliva, it can be speculated that the character may be facing a situation that makes her nervous or under pressure."
sample_00000176,"In the video, it is impossible to determine the characters' emotional state; in the audio, it is impossible to determine the characters' emotional state; in the text, the subtitle says, ""So I'm afraid, you know, after you find out my true identity, we will instead create a sense of distance."" From the subtitle, we can infer the characters' emotional state. Based on the description in the subtitle, the character expresses feelings of worry and fear, fearing that the other person will create a sense of distance after knowing their true identity. Although the video and audio clues cannot provide specific emotional expressions, the characters' emotional state can be inferred through the subtitle content."
sample_00000203,"In the video, at the beginning of the video, we see a female character sitting indoors. Her eye sockets are red, and her facial expression appears somewhat melancholic. Her gaze seems slightly unfocused, as if she is reminiscing or contemplating something. In the audio, the character's tone is low, and the background music exudes a sense of sadness. In the text, the subtitle reads: ""She is my father's aunt, and she never got married in her lifetime."" This sentence is possibly the female character's description of her father's aunt and grandmother. Based on the video clues of the female character's red eye sockets, melancholic facial expression, and unfocused gaze, as well as the audio clue of the character's low tone and the sad atmosphere of the background music, we can infer that this sentence may carry a sense of sadness or nostalgia. The female character may be reminiscing or contemplating the experiences of her father's aunt and grandmother, which may be related to their lifelong unmarried status, thus triggering her melancholic and unfocused expression."
sample_00000208,"In the video, in the opening scene, we see a woman wearing a red headscarf and a black coat, carrying a bag. Her facial expression is smiling, her eyes appear to be shining, and the corners of her mouth are upturned. We can infer that the woman's emotional state in the video is happy and satisfied. She may be interacting with someone, enjoying a pleasant conversation, or anticipating a positive event. In the audio, it is impossible to determine the character's emotional state. In the text, the subtitle says, ""Hello, aunt."" This sentence is likely the woman greeting someone referred to as ""aunt."" Based on the video clues of the woman's smiling facial expression, shining eyes, and upturned corners of the mouth, we can infer that this sentence is the woman friendly and warmly greeting the ""aunt."" Therefore, this sentence expresses the woman's joy and pleasant emotions."
sample_00000209,"In the video, we see a young woman whose facial expression appears to be a smile and anticipation. Her eyes seem focused and her mouth slightly upturned, which usually indicates a person feeling happy or having positive emotions. In the audio, it is impossible to determine the character's emotional state. In the text, the subtitle reads ""Dad is coming back,"" based on the video clues of the woman's smiling and anticipatory facial expression, focused eyes, and the mention of ""Dad is coming back"" in the subtitle, we can infer that the woman is feeling happy and excited. Since the audio clues cannot determine the character's emotional state, we primarily rely on the video clues and subtitle content for inference. The woman's smile and focused gaze indicate that she is happy and excited about the news of her dad coming back."
sample_00000213,"In the video, the opening scene shows a female character. She is looking directly at the other person, with her mouth slightly open, seemingly speaking or discussing a certain topic seriously. As time goes on, the character's expression becomes more excited and intense. The extent to which her mouth is open increases, possibly indicating that she is speaking loudly or arguing. In the following scene, the character's expression becomes more distorted, with a furrowed brow and downturned mouth, possibly indicating that her emotional state is escalating further. Based on these scenes, it can be inferred that the character in this video is likely experiencing a heated conversation or argument. In the audio, this character speaks with a strong tone, high volume, and fast pace. There are also continuous rhetorical questions with strong emotions. In the text, the subtitle reads: ""Is it useful to ask you? Are you ready to be a father? Luo Yiyang."" This sentence is likely spoken by the female character during the intense conversation or argument. Based on the changes in the female character's facial expressions from seriousness to excitement and further distorted expressions, as well as the description in the audio of the character's strong tone, high volume, and fast pace, we can infer that this sentence carries a sense of anger, dissatisfaction, or provocation. The female character may be questioning the other person's usefulness and readiness to be a father, expressing her discontent and anger."
sample_00000215,"In the video, at the beginning of the video, we see a lady sitting in front of a dining table. Her facial expression appears relaxed and pleasant, with a slight upward curve at the corners of her mouth, as if she is smiling. Her eyes are looking at the other person, giving a sense of enjoyment. As time passes, in the middle part of the video, the lady's expression becomes more animated, her mouth opens as if she is speaking or laughing. It can be felt that her emotions are more active, possibly in response to a pleasant topic. In the latter part of the video, she twists her shoulders and raises her other hand, crossing her hands, but her mouth opens wider, as if she is laughing or emphasizing a certain topic. Her body leans slightly forward, which may indicate her increased engagement in the conversation. Considering the overall emotional clues in the video, it can be inferred that the lady had a relaxed and pleasant conversation in the video. In the audio, the voice of this character is calm and soothing, with a gentle tone. In the text, the subtitle says ""Okay."" This sentence may be the lady's response or agreement to the other person. Based on the audio clue describing the character's calm and soothing voice, and the video clue of the lady's relaxed and pleasant emotions, we can deduce that this sentence may carry an attitude of agreement or acceptance. Therefore, this sentence may indicate the lady's agreement or acceptance of the other person's suggestion, request, or viewpoint, aligning with the positive mood displayed by the lady overall."
sample_00000218,"In the video, the opening scene shows a person lying on a bed, looking up at the person standing in front of them with a frown on their face, expressing dissatisfaction. The environment appears to be a bedroom in a family setting, with the person resting on the bed. As time passes, the person's mouth movements while speaking are exaggerated, with occasional head tilts and arm gestures, indicating extreme dissatisfaction and anger. Finally, the person makes a gesture of throwing their hands up in frustration, with their mouth corners drooping downwards and their head turning to the side, showing not only dissatisfaction and anger but also impatience and a desire to ignore the other person. In the audio, the character's volume is high, speaking at a fast pace with short pauses in between sentences, displaying excitement. Overall, the tone and intonation of the character's voice reflect a state of anger. In the text, the subtitle reads: ""Isn't it only 38 degrees? It's not considered a fever until it reaches 38 degrees. Won't I be laughed at if I go like this?"" This sentence expresses the character's dissatisfaction and anger towards a certain situation. Based on the visual clues in the video, such as the character's furrowed brow, exaggerated mouth movements, hand gestures, and drooping mouth corners, it can be inferred that the character displayed dissatisfaction and anger while saying this sentence. Additionally, the audio clues of the character's high volume, fast pace, and short pauses further support the character's state of excitement. Therefore, this sentence can be understood as the character's complaint and expression of impatience towards a certain dissatisfaction."
sample_00000220,"In the video, the screen shows a male character in an indoor setting. In the video, he furrows his brows and slightly opens his mouth, which typically reflects the character's confusion or surprise. His gaze is fixed on a certain place, possibly indicating that something or someone in the scene has triggered his emotions. The specific emotions need to be analyzed in conjunction with additional context. In the audio, the specific emotions need to be analyzed in conjunction with additional context. In the text, the subtitle says ""Ah."" Based on the video clues of the male character furrowing his brows, slightly opening his mouth, and his gaze fixed on a certain place, it can be inferred that he may have encountered a sudden situation or unexpected event, causing him to feel surprised or confused. The ""Ah"" in the subtitle may be his reaction to this situation, expressing his surprise or confusion. Since the audio clue does not provide specific tone or emotional information, it is not possible to further determine his emotional state."
sample_00000225,"In the video, the scene shows a woman sitting on a sofa, and the environment appears to be an indoor setting of a home. At the beginning of the video, her facial expression appears somewhat serious and negative. Her pupils are moving from side to side, indicating rapid thinking. In the following shots, her mouth slightly opens, but her gaze does not look towards the other person, suggesting that she is speaking to someone. At the end of the video, her eyes shift towards the upper right corner, and her facial expression appears somewhat angry. She looks at the other person, seemingly waiting for their response. In the audio, the tone is relatively calm. Combined with the text content, it seems that she is asking the other person about their previous situation. In the text, the subtitle reads: ""Are you sure they have never been good before?"" This sentence is likely the woman asking the other person about their previous situation. Based on the video clues of the woman's serious and negative facial expression, the movement of her pupils indicating rapid thinking, and her angry gaze towards the upper right corner, it can be inferred that the woman may have some suspicion and dissatisfaction when asking the question. At the same time, the description of a calm tone in the audio clue also supports this inference. Therefore, this sentence may be the woman expressing her doubts and dissatisfaction towards the other person."
sample_00000227,"In the video, at the beginning of the video, we see a man sitting on a chair. His facial expression shows joy and satisfaction, with a slight upward curve at the corners of his mouth and his eyes slightly closed, as if he is smiling. The environment appears to be an indoor place, with some blurry items in the background, and it can be inferred from the bookshelf and office chair that he is in an office. As time goes on, we see the man's smile continue to stay, and his head tilts slightly backward, which may indicate that his laughter is very natural and relaxed. This kind of body language is usually associated with a deep sense of entertainment and pleasure. Based on these scenes, it can be inferred that the man in the video may be experiencing a happy moment, hearing a joke or an interesting story that makes him very happy. In the audio, the character feels confident and satisfied in his voice. In the text, the subtitle says, ""Of course."" This sentence may be the man's response to a question or statement. Based on the joyful and satisfied facial expression shown by the man in the video, as well as the body language of tilting his head backward, it can be inferred that this sentence may have a positive and confident tone. The man's smile and relaxed posture also indicate that he is satisfied and happy with what he said. Therefore, this sentence may be a positive response from the man to a affirmative question or statement. Output: In the video, at the beginning, we see a man sitting on a chair. His facial expression shows joy and satisfaction, with a slight upward curve at the corners of his mouth and his eyes slightly closed, as if he is smiling. The environment appears to be an indoor place, with some blurry items in the background, and it can be inferred from the bookshelf and office chair that he is in an office. As time goes on, we see the man's smile continue to stay, and his head tilts slightly backward, which may indicate that his laughter is very natural and relaxed. This kind of body language is usually associated with a deep sense of entertainment and pleasure. Based on these scenes, it can be inferred that the man in the video may be experiencing a happy moment, hearing a joke or an interesting story that makes him very happy. In the audio, the character feels confident and satisfied in his voice. In the text, the subtitle says, ""Of course."" This sentence may be the man's response to a question or statement. Based on the joyful and satisfied facial expression shown by the man in the video, as well as the body language of tilting his head backward, it can be inferred that this sentence may have a positive and confident tone. The man's smile and relaxed posture also indicate that he is satisfied and happy with what he said. Therefore, this sentence may be a positive response from the man to an affirmative question or statement."
sample_00000240,"In the video, the screen shows a female character in a dim environment. At the beginning of the video, she tilts her head forward and slightly furrows her brows, which usually indicates a sense of focus, contemplation, or confusion. In the following scenes, her frowning becomes more pronounced, suggesting that her emotions are becoming more intense. Overall, she is engaged in a rather negative conversation with a person who is not shown in the video. In the audio, the character speaks with an exclamation tone. Combined with the text content, it can be inferred that the character's emotional state is one of shock, admiration, and sympathy. The reasoning behind this inference is as follows: 1. ""Wow, you're so brave!"" - This statement expresses astonishment and surprise towards the character. 2. ""You can handle this punishment!"" - This statement implies sympathy and shock towards the difficulties the character is enduring. In the text, the subtitle reads, ""Wow, you're so brave! You can handle this punishment!"" This sentence is likely the female character's evaluation or reaction to the person who is not shown in the video. Based on the audio clue describing the character speaking with an exclamation tone and the video clue of the female character displaying focused, contemplative, confused, and excited emotions, we can infer that this sentence may carry a sense of shock, admiration, and sympathy. Therefore, this sentence is likely an expression of appreciation and sympathy towards the difficulties endured by the person who is not shown in the video."
sample_00000246,"In the video, the image shows a woman in an indoor environment, with a slightly serious expression and a slight downturn of the corners of her mouth, continuously staring at another character in the frame. In the audio, it is impossible to determine the emotional state of the person. In the text, the subtitle says, ""Andy, I think something is wrong with you."" This sentence may be a comment or observation about Andy. Based on the clues from the serious expression and slight downturn of the corners of the woman's mouth in the video, as well as the observation in the subtitle about Andy's state being off, we can infer that this sentence may carry a tone of concern or care. Due to the inability to determine the emotional state of the person from the audio clue, we cannot determine the specific emotional inclination of this sentence, but we can speculate that the woman may feel worried or dissatisfied with Andy's state."
sample_00000256,"In the video, we see a female character with a furrowed brow and a contorted facial expression that appears to be crying. Her eyes look sad and her mouth is slightly open, as if speaking or expressing some kind of emotion. She may be experiencing an emotional shock or receiving sad news. In the audio, there is a crying tone in her voice, expressing a strong feeling of sadness. In the text, the subtitle says, ""If I had known the truth at that time, I wouldn't have left the United States."" This sentence expresses the female character's regret and sadness about her past decision. Based on the distorted facial expression and sad eyes of the female character in the video clues, as well as the crying tone and expression of strong sadness in the audio clues, we can infer that this sentence is the female character expressing her regret and sadness about her past decision."
sample_00000258,"In the video, the background is blurred and appears to be an outdoor scene, possibly a traditional or rural environment. There is a male character in the video, with a furrowed brow and tightly pursed lips. As he turns his head, his body moves up and down, indicating that he is taking deep breaths, possibly because he has encountered something unpleasant. His eyes are not looking at the camera, but instead, he is looking down, suggesting that he has encountered something bad and is contemplating a solution. In the audio, it is impossible to determine the emotional state of the person. In the text, it is impossible to determine the emotional state based on the subtitle content."
sample_00000276,"In the video, we see a female character with furrowed brows, slightly downturned corners of the mouth, reddened eye sockets, and tears streaming down her face. This indicates that she may have just heard some very bad news or is going through an emotional setback. In the audio, we can sense the character sobbing and sighing through her voice. In the text, it is impossible to determine the emotional state based on the subtitle content."
sample_00000278,"In the video, at the beginning of the video, we see a female character whose facial expression shows a relaxed attitude. The corners of her mouth are slightly upturned, her head is tilted, and her gaze is direct, which may indicate that she is engaged in a frank and possibly positive conversation. Towards the end of the video, the female character's expression becomes more lively. Taking these clues together, it can be predicted that the female character in the video is in a positive emotional state throughout the scene. She may be enjoying a pleasant conversation or interaction, and the whole situation is filled with joy. In the audio, the character in this voice feels happy and teasing. There is a lingering tone in the middle of the word ""额"", which suggests that the character is acting coquettishly. In the text, the subtitle says, ""You're welcome, I'm so hungry, let's order takeout."" This sentence indicates that the female character is feeling hungry and suggests ordering takeout. Based on the relaxed attitude, slightly upturned corners of the mouth, direct gaze towards the other person, and lively expression of the female character in the video clues, as well as the description of the character feeling happy and teasing in the audio clues and the use of the lingering tone in the word ""额"", it can be inferred that she is expressing the suggestion to order takeout in a joking or teasing manner. Furthermore, this sentence expresses the positive emotion and sense of humor of the female character."
sample_00000286,"In the video, we see a man sitting indoors, but it is difficult to determine specific details due to the blurry background. In the opening scene, he frowns, purses his lips, and looks down, seemingly contemplating or reminiscing about something. His facial expression suggests a negative emotional state. As time passes, the man maintains this expression but shifts his gaze towards someone else, indicating a serious or earnest conversation. In the audio, the character's voice starts off steady but with noticeable long inhalations, indicating that the character is thinking about the next sentence. Afterwards, the character's tone becomes low and monotonous, with pauses between each sentence. In the text, the subtitle reads: ""That's not it, anyway, I just feel that she's not as cute and innocent as when we first met."" This sentence may be the man's evaluation or observation of a certain woman. Based on the man's facial expressions of frowning, pursing his lips, and looking down in the video clues, as well as the description of the character's low and monotonous tone in the audio clues, we can infer that the man may have a negative or disappointed emotion when expressing this sentence. He may be reminiscing or contemplating the impression of the woman when they first met and believes that she is no longer as cute and innocent, which may have triggered the man's negative emotions."
sample_00000294,"In the video, the opening scene shows a woman with a smile on her face, appearing to be in a pleasant mood. Her eyes are slightly squinted and the corners of her mouth are upturned, indicating that she may be enjoying a pleasant conversation. As the video progresses, the woman's expression remains relatively unchanged, still maintaining a smile, further indicating that her mood is stable and her body posture appears relaxed. In the closing scene, the woman's expression continues to be a smile. Overall, the person in the video seems to be consistently in a happy and positive emotional state, suggesting that the entire conversation process may be a pleasant and positive exchange. In the audio, it is not possible to determine the emotional state of the person. In the text, the subtitle content says, ""The other day, didn't you introduce him to someone?"" Due to the lack of audio clues to determine the emotional state of the person, we can only rely on video clues to speculate on the person's emotional state. Based on the video clues of the woman smiling, slightly squinted eyes, and upturned corners of the mouth, as well as the woman maintaining a smile and relaxed body posture throughout the video, it can be inferred that the woman has been in a happy and positive emotional state throughout the entire conversation. Therefore, this sentence is likely the woman asking about the other person's situation in a relaxed and happy tone, expressing care and curiosity towards the other person."
