name,discrete,valence
sample_00004485,angry,-2.25
sample_00002253,angry,-1.0
sample_00002449,happy,2.5
sample_00006742,angry,-4.5
sample_00002986,neutral,0.0
sample_00003575,angry,-1.75
sample_00005749,worried,-1.5
sample_00000131,neutral,0.0
sample_00000877,worried,-1.5
sample_00005942,happy,1.5
sample_00001243,neutral,-1.25
sample_00002244,angry,-2.5
sample_00003718,neutral,0.0
sample_00006914,angry,-2.25
sample_00006884,angry,-2.5
sample_00006689,angry,-3.5
sample_00001846,angry,-3.0
sample_00003426,neutral,0.75
sample_00002079,neutral,0.0
sample_00004671,surprise,-0.5
sample_00004919,angry,-2.0
sample_00002536,happy,1.75
sample_00005231,surprise,1.5
sample_00004591,worried,-1.0
sample_00004793,neutral,0.25
sample_00003018,worried,-0.5
sample_00003889,worried,-0.5
sample_00006161,angry,-1.75
sample_00002953,neutral,0.75
sample_00002982,angry,-3.75
sample_00000439,surprise,-1.75
sample_00005900,angry,-1.75
sample_00003563,happy,2.5
sample_00006956,angry,-1.75
sample_00002630,angry,-2.5
sample_00003551,happy,1.5
sample_00004173,happy,1.75
sample_00005255,sad,-3.5
sample_00002475,sad,-2.75
sample_00005151,angry,-1.5
sample_00002640,angry,-3.25
sample_00002132,angry,-1.25
sample_00003464,happy,1.25
sample_00002058,angry,-3.5
sample_00000808,worried,-3.0
sample_00004076,worried,-1.5
sample_00004462,happy,-1.0
sample_00003169,sad,-1.5
sample_00001456,neutral,0.25
sample_00006840,angry,-2.75
sample_00001072,happy,2.5
sample_00006128,angry,-0.75
sample_00002087,angry,-2.75
sample_00000007,happy,2.0
sample_00004590,happy,1.75
sample_00000444,happy,1.0
sample_00006497,sad,-4.25
sample_00005509,happy,1.5
sample_00004719,angry,-3.25
sample_00006079,happy,3.0
sample_00000529,worried,-1.0
sample_00003624,angry,-2.25
sample_00001126,worried,-2.25
sample_00001776,sad,-1.75
sample_00002277,worried,-1.5
sample_00000420,happy,0.5
sample_00003978,happy,1.25
sample_00006761,happy,2.5
sample_00003799,surprise,-2.0
sample_00005067,happy,2.0
sample_00006085,happy,0.75
sample_00005006,worried,-1.75
sample_00003661,sad,-3.0
sample_00006374,happy,1.75
sample_00000450,neutral,0.0
sample_00003925,worried,-1.75
sample_00004040,angry,-4.75
sample_00001515,angry,-2.25
sample_00000639,angry,-2.25
sample_00002586,angry,-1.75
sample_00004614,happy,1.25
sample_00005706,angry,-3.25
sample_00001304,sad,-4.0
sample_00004260,angry,-2.5
sample_00006256,angry,-2.5
sample_00001433,happy,1.75
sample_00006977,neutral,0.0
sample_00002273,neutral,0.5
sample_00002477,angry,-2.5
sample_00004355,neutral,0.25
sample_00001175,happy,2.5
sample_00003159,angry,-1.5
sample_00000601,happy,1.75
sample_00001132,happy,2.0
sample_00006025,angry,-3.75
sample_00001260,sad,-1.5
sample_00003840,neutral,-0.25
sample_00001383,happy,1.75
sample_00003782,neutral,0.25
sample_00005759,happy,3.0
sample_00006437,surprise,-1.75
sample_00003763,angry,-3.0
sample_00004537,angry,-4.0
sample_00000240,surprise,-1.5
sample_00003116,happy,2.25
sample_00002337,worried,-1.25
sample_00005977,sad,-1.25
sample_00006990,angry,-1.5
sample_00002078,angry,-2.0
sample_00003392,happy,1.25
sample_00000325,sad,-3.5
sample_00005146,angry,-2.75
sample_00001184,happy,2.0
sample_00001101,happy,2.25
sample_00003547,happy,1.0
sample_00006829,neutral,-0.25
sample_00001199,happy,2.5
sample_00000549,surprise,-1.25
sample_00005962,happy,2.25
sample_00001890,angry,-3.5
sample_00000461,sad,-1.0
sample_00000162,neutral,0.0
sample_00003025,worried,-0.25
sample_00006792,sad,-3.75
sample_00000258,worried,-0.5
sample_00001090,happy,3.0
sample_00003846,angry,-3.5
sample_00005880,angry,-3.0
sample_00004799,happy,2.25
sample_00000676,neutral,0.5
sample_00004322,happy,1.5
sample_00003403,happy,1.25
sample_00001176,angry,-2.0
sample_00000493,angry,-2.5
sample_00000679,happy,1.5
sample_00003296,sad,-4.0
sample_00001509,neutral,0.0
sample_00001749,angry,-2.5
sample_00006233,neutral,0.25
sample_00001198,angry,-3.25
sample_00002789,angry,-2.25
sample_00001389,angry,-1.0
sample_00005130,angry,-3.0
sample_00003164,angry,-3.25
sample_00004634,neutral,0.0
sample_00004743,neutral,1.75
sample_00002180,angry,-4.0
sample_00004326,sad,-2.0
sample_00005487,surprise,-0.75
sample_00005668,angry,-2.5
sample_00006958,sad,-2.25
sample_00006086,happy,1.75
sample_00005136,happy,2.0
sample_00003495,angry,-3.25
sample_00000039,angry,-3.0
sample_00006499,neutral,0.25
sample_00001310,neutral,0.25
sample_00006870,worried,-1.25
sample_00006004,happy,1.25
sample_00005462,angry,-2.25
sample_00000839,angry,-0.25
sample_00001335,neutral,0.75
sample_00005774,angry,-4.0
sample_00003398,angry,-2.5
sample_00000515,angry,-4.0
sample_00003705,happy,1.25
sample_00004818,angry,-3.0
sample_00005835,worried,-2.0
sample_00001619,angry,-3.25
sample_00004367,sad,-3.25
sample_00001254,neutral,0.5
sample_00001119,angry,-3.0
sample_00004219,angry,-3.5
sample_00006881,neutral,0.5
sample_00005865,happy,1.5
sample_00004829,angry,-3.0
sample_00001620,sad,-1.75
sample_00006822,angry,-2.5
sample_00003076,sad,-1.25
sample_00004689,angry,-1.5
sample_00001942,angry,-4.0
sample_00001760,angry,-2.75
sample_00001203,happy,1.0
sample_00003543,happy,1.0
sample_00006602,happy,2.25
sample_00004086,neutral,0.0
sample_00002957,happy,1.5
sample_00001731,angry,-1.75
sample_00000073,angry,-3.0
sample_00001921,happy,2.0
sample_00004858,happy,1.5
sample_00004981,angry,-1.75
sample_00001790,neutral,-0.5
sample_00002187,angry,-3.25
sample_00005756,happy,2.75
sample_00001920,angry,-1.75
sample_00005025,sad,-2.5
sample_00003484,worried,-0.25
sample_00003821,angry,-3.0
sample_00002912,surprise,-0.75
sample_00005284,angry,-3.25
sample_00007023,angry,-3.0
sample_00006209,angry,-1.5
sample_00000055,worried,-0.5
sample_00006925,happy,2.25
sample_00006351,angry,-2.25
sample_00001841,sad,-1.0
sample_00001786,sad,-2.5
sample_00006507,surprise,-2.75
sample_00002965,worried,-0.75
sample_00003653,happy,2.0
sample_00004139,happy,0.25
sample_00003472,angry,-2.0
sample_00002148,sad,-1.75
sample_00000686,happy,2.0
sample_00003779,sad,-3.5
sample_00003361,neutral,0.0
sample_00000536,sad,-3.75
sample_00006619,happy,2.5
sample_00006899,sad,-1.0
sample_00005693,worried,-0.75
sample_00003407,worried,-0.75
sample_00001652,worried,-1.5
sample_00002618,neutral,0.25
sample_00002374,worried,-2.25
sample_00005864,angry,-4.75
sample_00002306,happy,2.25
sample_00001255,happy,1.25
sample_00005953,happy,1.25
sample_00006115,happy,1.75
sample_00003440,sad,-3.5
sample_00006194,worried,0.0
sample_00005802,happy,1.5
sample_00004706,worried,-0.25
sample_00004384,sad,-3.75
sample_00003298,angry,-1.25
sample_00002817,neutral,1.5
sample_00005913,happy,2.0
sample_00002666,surprise,-0.25
sample_00001314,angry,-1.0
sample_00001826,happy,1.25
sample_00005849,angry,-2.5
sample_00001868,worried,-0.25
sample_00001811,angry,-2.5
sample_00005548,angry,-2.0
sample_00005396,angry,-2.5
sample_00006699,angry,-1.25
sample_00003948,worried,-0.25
sample_00004707,neutral,0.0
sample_00006040,sad,-4.25
sample_00001073,happy,1.5
sample_00001946,sad,-1.75
sample_00003855,angry,-0.5
sample_00002764,angry,-1.25
sample_00004024,happy,2.0
sample_00006979,angry,-3.0
sample_00005106,angry,-2.75
sample_00006785,happy,2.0
sample_00000823,angry,-1.5
sample_00000993,neutral,-0.5
sample_00004258,angry,-3.0
sample_00000476,worried,-1.75
sample_00004606,angry,-3.5
sample_00005194,angry,-1.75
sample_00004819,angry,-0.25
sample_00005000,worried,-1.75
sample_00004049,neutral,0.5
sample_00002962,happy,2.25
sample_00005742,worried,0.0
sample_00006496,neutral,0.5
sample_00005291,worried,-1.5
sample_00004695,neutral,-1.25
sample_00003955,angry,-3.0
sample_00001205,sad,-2.0
sample_00000338,worried,-2.25
sample_00004657,angry,-1.5
sample_00000407,angry,-2.5
sample_00003147,angry,-2.25
sample_00001350,surprise,-1.25
sample_00000385,happy,3.0
sample_00006906,neutral,-0.25
sample_00000114,angry,-3.5
sample_00006590,happy,1.75
sample_00005696,angry,-1.25
sample_00003806,happy,1.5
sample_00003565,worried,-0.75
sample_00002783,worried,-0.75
sample_00001521,worried,-0.25
sample_00003283,neutral,-0.25
sample_00005521,angry,-1.5
sample_00002142,happy,2.5
sample_00000972,happy,0.5
sample_00000213,angry,-2.75
sample_00000278,happy,1.25
sample_00001286,surprise,1.0
sample_00003130,sad,-0.75
sample_00001155,happy,1.25
sample_00003062,worried,-1.25
sample_00006489,angry,-3.25
sample_00006247,angry,-2.5
sample_00000646,worried,-1.0
sample_00002181,happy,4.25
sample_00002593,angry,-1.75
sample_00002895,happy,1.25
sample_00000602,angry,-1.5
sample_00003417,angry,-3.5
sample_00002632,angry,-2.5
sample_00000788,worried,-0.75
sample_00004015,happy,1.5
sample_00001655,angry,-2.5
sample_00005582,worried,-0.75
sample_00000363,worried,-0.25
sample_00006838,neutral,-0.5
sample_00001036,angry,-3.0
sample_00004313,sad,-2.75
sample_00003890,angry,-4.25
sample_00000727,sad,-4.75
sample_00002093,neutral,0.0
sample_00002958,angry,-2.25
sample_00002329,happy,1.0
sample_00003888,happy,1.25
sample_00003510,sad,-3.0
sample_00007020,worried,-0.25
sample_00002092,neutral,0.75
sample_00002466,sad,-4.0
sample_00006354,worried,0.0
sample_00003451,angry,-2.5
sample_00006270,surprise,-0.75
sample_00000406,worried,-0.75
sample_00005872,happy,2.25
sample_00004126,neutral,0.0
sample_00005816,sad,-3.0
sample_00001192,sad,-1.0
sample_00006529,worried,-0.25
sample_00004957,worried,-0.5
sample_00002419,happy,1.0
sample_00003284,surprise,-1.75
sample_00000021,worried,-0.25
sample_00001288,happy,1.0
sample_00002952,neutral,0.25
sample_00002493,neutral,0.0
sample_00001629,happy,1.75
sample_00003612,neutral,0.0
sample_00006601,neutral,0.5
sample_00001642,happy,3.25
sample_00004554,happy,1.75
sample_00004509,sad,-2.0
sample_00003203,angry,-2.75
sample_00000906,worried,-1.0
sample_00003964,angry,-1.25
sample_00006509,angry,-2.0
sample_00001295,neutral,0.0
sample_00006139,angry,-1.5
sample_00004269,happy,2.0
sample_00006071,neutral,-0.25
sample_00005797,worried,-0.25
sample_00001327,surprise,-0.75
sample_00001437,happy,1.0
sample_00005952,angry,-2.25
sample_00004386,angry,-3.5
sample_00000689,angry,-1.25
sample_00001020,neutral,0.0
sample_00006460,neutral,-1.25
sample_00001818,neutral,0.0
sample_00002316,angry,-2.75
sample_00006423,neutral,0.25
sample_00003682,angry,-4.25
sample_00003722,surprise,-1.25
sample_00003134,angry,-2.75
sample_00005827,happy,2.0
sample_00000956,surprise,0.0
sample_00000203,sad,-2.25
sample_00003775,sad,-3.5
sample_00003127,angry,-1.75
sample_00002259,happy,1.25
sample_00001156,worried,-1.25
sample_00005846,surprise,1.0
sample_00001911,neutral,0.0
sample_00005449,angry,-4.25
sample_00006858,neutral,0.0
sample_00000774,happy,1.75
sample_00002842,angry,-3.25
sample_00001426,surprise,0.0
sample_00000855,angry,-2.75
sample_00001371,worried,-2.5
sample_00000160,neutral,-0.5
sample_00005650,sad,0.0
sample_00006568,sad,-4.0
sample_00005024,sad,-0.75
sample_00003770,neutral,-0.5
sample_00006000,happy,3.0
sample_00000196,neutral,0.75
sample_00000736,neutral,0.75
sample_00004253,worried,-1.75
sample_00006622,happy,2.25
sample_00000969,neutral,-0.75
sample_00001354,happy,3.0
sample_00001774,angry,-1.75
sample_00005322,happy,1.0
sample_00003816,surprise,0.5
sample_00001440,angry,-1.75
sample_00002055,sad,-2.75
sample_00001641,angry,-3.5
sample_00003312,happy,2.75
sample_00006861,happy,3.5
sample_00003772,angry,-3.75
sample_00004844,happy,1.5
sample_00002070,worried,-1.0
sample_00004687,neutral,1.25
sample_00001025,happy,2.0
sample_00005174,neutral,-1.25
sample_00006850,angry,-2.0
sample_00000948,neutral,0.25
sample_00003468,neutral,0.0
sample_00000294,happy,1.75
sample_00001334,happy,2.25
sample_00005700,neutral,-0.5
sample_00001145,neutral,-0.5
sample_00004643,neutral,-0.25
sample_00000695,neutral,-0.25
sample_00000796,neutral,-0.5
sample_00002758,worried,-2.75
sample_00003438,sad,-2.25
sample_00006797,sad,-2.75
sample_00000215,happy,1.75
sample_00006934,angry,-4.0
sample_00004265,neutral,-0.25
sample_00001530,neutral,-1.0
sample_00004738,neutral,0.5
sample_00004070,happy,3.0
sample_00006436,neutral,0.5
sample_00005781,happy,0.0
sample_00001269,angry,-3.0
sample_00005090,happy,1.75
sample_00006978,angry,-2.0
sample_00000881,happy,2.0
sample_00005345,sad,-3.75
sample_00006031,neutral,0.0
sample_00002876,happy,1.0
sample_00002394,angry,-1.75
sample_00000246,worried,-0.75
sample_00006101,neutral,0.0
sample_00000434,neutral,0.25
sample_00005916,angry,-2.5
sample_00002094,worried,1.0
sample_00001500,worried,-1.5
sample_00002280,worried,0.0
sample_00003643,sad,-2.5
sample_00007006,sad,-2.0
sample_00006127,worried,-0.25
sample_00001710,neutral,0.25
sample_00003118,neutral,0.25
sample_00001751,worried,-0.5
sample_00004127,happy,2.0
sample_00005950,happy,2.25
sample_00001138,neutral,0.0
sample_00006293,happy,1.75
sample_00002693,angry,-3.75
sample_00000605,happy,2.5
sample_00001560,neutral,-0.5
sample_00003884,neutral,0.0
sample_00000432,neutral,0.5
sample_00004033,worried,-1.5
sample_00000166,surprise,-0.25
sample_00001074,sad,-1.25
sample_00007016,angry,-2.0
sample_00001525,neutral,0.25
sample_00000894,angry,-2.0
sample_00004892,happy,2.25
sample_00000204,neutral,-1.25
sample_00000987,angry,-2.0
sample_00002099,angry,-2.75
sample_00001089,happy,2.0
sample_00004163,angry,-3.0
sample_00001326,neutral,1.0
sample_00001282,angry,-2.25
sample_00006666,neutral,0.0
sample_00000197,neutral,0.0
sample_00000741,sad,-2.25
sample_00002100,neutral,-0.5
sample_00001817,happy,2.25
sample_00006469,happy,3.75
sample_00000365,angry,-2.25
sample_00004666,worried,-0.75
sample_00003192,angry,-2.25
sample_00000154,neutral,0.0
sample_00002177,neutral,0.0
sample_00005630,sad,-1.25
sample_00003691,neutral,-1.75
sample_00004815,happy,3.0
sample_00001580,angry,-2.25
sample_00006307,happy,2.0
sample_00000276,sad,-2.25
sample_00004518,angry,-4.25
sample_00006770,happy,2.0
sample_00001679,worried,-0.25
sample_00000567,neutral,0.0
sample_00005121,angry,-3.5
sample_00005594,worried,0.25
sample_00003081,worried,-1.5
sample_00003001,happy,1.75
sample_00001741,neutral,0.25
sample_00006503,worried,-0.75
sample_00003317,worried,-0.75
sample_00006706,angry,-2.5
sample_00004067,angry,-3.0
sample_00003340,happy,2.25
sample_00006067,worried,-0.75
sample_00002089,neutral,0.0
sample_00002091,neutral,0.25
sample_00004003,sad,-2.25
sample_00002304,neutral,0.25
sample_00001539,happy,1.25
sample_00002220,angry,-2.0
sample_00002173,neutral,-0.5
sample_00006474,happy,2.0
sample_00004980,sad,-2.25
sample_00006627,happy,2.25
sample_00002563,angry,-3.5
sample_00001693,worried,-2.25
sample_00000958,happy,1.75
sample_00005508,worried,0.0
sample_00000342,surprise,1.0
sample_00002886,happy,1.5
sample_00003561,sad,-4.25
sample_00004246,neutral,-0.25
sample_00006703,neutral,1.0
sample_00004064,neutral,0.5
sample_00004512,worried,-1.75
sample_00000934,neutral,-1.0
sample_00003379,angry,-2.25
sample_00004282,neutral,-0.25
sample_00000865,neutral,0.0
sample_00004648,angry,-2.75
sample_00004387,neutral,1.0
sample_00002805,neutral,-0.25
sample_00007003,neutral,-0.75
sample_00005222,happy,0.75
sample_00002166,neutral,-0.75
sample_00004872,worried,-0.5
sample_00002771,neutral,0.5
sample_00004028,happy,1.75
sample_00005328,sad,-3.75
sample_00001632,neutral,0.25
sample_00003828,worried,-1.75
sample_00004195,angry,-1.75
sample_00006836,worried,-2.0
sample_00002041,sad,-1.25
sample_00005192,happy,1.75
sample_00005540,neutral,0.25
sample_00005755,angry,-2.5
sample_00005946,neutral,0.5
sample_00006669,neutral,1.25
sample_00005719,neutral,1.0
sample_00006348,worried,-1.25
sample_00000561,happy,1.75
sample_00001732,worried,-1.75
sample_00003663,worried,-1.0
sample_00006807,angry,-3.0
sample_00000176,worried,-1.0
sample_00002644,neutral,0.75
sample_00006839,happy,2.0
sample_00001559,neutral,0.0
sample_00002479,neutral,0.75
sample_00005493,neutral,0.0
sample_00002238,sad,-2.0
sample_00002486,worried,-1.5
sample_00000108,neutral,-0.75
sample_00003534,neutral,-0.25
sample_00005771,angry,-2.5
sample_00002550,angry,-1.75
sample_00006394,angry,-2.75
sample_00004182,worried,-1.75
sample_00002614,angry,-1.5
sample_00004134,neutral,-0.75
sample_00006271,happy,1.25
sample_00000668,angry,-1.5
sample_00005881,neutral,0.0
sample_00005858,sad,-3.0
sample_00006783,happy,1.75
sample_00000611,neutral,0.75
sample_00002444,happy,1.5
sample_00002303,sad,-2.75
sample_00001762,angry,-3.25
sample_00003253,happy,3.25
sample_00004287,happy,1.5
sample_00006536,worried,0.0
sample_00000000,happy,2.25
sample_00006874,surprise,1.75
sample_00000388,angry,-3.5
sample_00000295,neutral,0.5
sample_00000209,happy,1.25
sample_00001701,neutral,0.0
sample_00002392,neutral,-0.25
sample_00004655,neutral,0.75
sample_00002755,angry,-2.75
sample_00000519,angry,-3.0
sample_00001346,angry,-2.25
sample_00000653,sad,-2.5
sample_00003335,happy,2.25
sample_00000571,happy,2.5
sample_00006130,neutral,-2.0
sample_00005096,happy,1.5
sample_00001720,happy,3.75
sample_00004373,happy,2.25
sample_00000121,neutral,-0.75
sample_00005187,happy,1.75
sample_00006710,happy,2.0
sample_00002511,angry,-3.75
sample_00003623,sad,-1.75
sample_00003987,worried,-1.75
sample_00003228,angry,-2.25
sample_00001586,happy,2.25
sample_00005364,worried,-0.25
sample_00004257,worried,-0.25
sample_00000433,worried,-0.25
sample_00000033,worried,-2.0
sample_00001997,neutral,-0.25
sample_00005786,neutral,0.5
sample_00004077,neutral,-0.5
sample_00004884,worried,-1.25
sample_00000629,neutral,-0.5
sample_00006926,neutral,-0.75
sample_00003274,neutral,-0.75
sample_00003032,neutral,0.25
sample_00006652,surprise,-1.75
sample_00006017,neutral,-0.5
sample_00006756,neutral,0.25
sample_00003553,worried,-1.0
sample_00002186,neutral,-0.5
sample_00002682,angry,-2.5
sample_00002189,neutral,-0.25
sample_00006125,angry,-4.25
sample_00003421,angry,-3.75
sample_00005445,angry,-4.5
sample_00000669,surprise,-0.75
sample_00001146,surprise,-1.0
sample_00000694,angry,-2.75
sample_00004255,angry,-3.0
sample_00002209,neutral,-1.0
sample_00001904,happy,2.5
sample_00002077,neutral,-0.25
sample_00002385,neutral,1.25
sample_00000499,happy,1.75
sample_00003670,worried,-1.5
sample_00000101,neutral,-0.25
sample_00000200,neutral,0.0
sample_00000368,surprise,-0.5
sample_00004808,neutral,-0.5
sample_00001049,happy,2.5
sample_00005631,worried,0.0
sample_00004052,neutral,1.75
sample_00003393,angry,-2.25
sample_00004159,happy,2.5
sample_00004524,happy,1.25
sample_00002291,neutral,-0.5
sample_00002457,neutral,-1.25
sample_00000286,worried,-1.75
sample_00006905,neutral,-1.25
sample_00006080,surprise,-1.25
sample_00004816,angry,-3.0
sample_00005309,sad,-2.5
sample_00000980,happy,3.25
sample_00001492,angry,-3.0
sample_00004806,neutral,-1.0
sample_00001378,worried,-1.0
sample_00002046,neutral,0.0
sample_00006061,angry,-1.25
sample_00001636,sad,-2.25
sample_00004044,happy,1.5
sample_00004245,angry,-2.5
sample_00003267,happy,2.0
sample_00000607,happy,1.75
sample_00006255,worried,-1.25
sample_00006013,happy,3.25
sample_00001782,neutral,0.0
sample_00005102,neutral,-0.5
sample_00003892,angry,-1.25
sample_00004581,neutral,0.0
sample_00001756,angry,-1.75
sample_00003572,angry,-3.25
sample_00003288,neutral,-0.75
sample_00001337,happy,1.25
sample_00003231,neutral,1.0
sample_00006526,happy,2.75
sample_00000097,neutral,-0.5
sample_00003084,angry,-2.75
sample_00002283,angry,-3.25
sample_00002977,angry,-3.0
sample_00004102,happy,2.0
sample_00003211,angry,-3.25
sample_00001823,worried,-2.0
sample_00001058,neutral,0.25
sample_00006724,happy,1.75
sample_00005585,worried,0.0
sample_00005282,happy,2.0
sample_00003920,sad,-4.75
sample_00005653,angry,-3.25
sample_00002420,angry,-1.75
sample_00000126,angry,-1.5
sample_00006301,angry,-2.75
sample_00006662,happy,2.0
sample_00005722,neutral,-0.75
sample_00005193,neutral,0.75
sample_00001591,neutral,-0.75
sample_00002770,neutral,-0.5
sample_00005214,happy,1.75
sample_00003058,worried,-0.25
sample_00001959,sad,-3.0
sample_00000518,worried,-0.75
sample_00003090,worried,-2.5
sample_00005083,angry,-1.5
sample_00001984,happy,2.25
sample_00006050,worried,-1.0
sample_00003668,angry,-3.25
sample_00000508,surprise,-0.5
sample_00004675,happy,1.5
sample_00003161,neutral,0.0
sample_00003238,angry,-2.75
sample_00002514,angry,-1.25
sample_00006196,worried,-1.5
sample_00004140,sad,-2.0
sample_00004206,neutral,-0.5
sample_00004883,neutral,-0.25
sample_00004366,worried,-1.5
sample_00005266,neutral,1.25
sample_00006002,angry,-1.75
sample_00002051,neutral,-0.25
sample_00000912,worried,-0.75
sample_00001717,happy,1.25
sample_00005023,neutral,-0.25
sample_00001614,sad,-2.25
sample_00002292,worried,-2.25
sample_00003037,angry,-1.25
sample_00003059,sad,-1.5
sample_00003733,neutral,-0.5
sample_00001116,worried,-2.25
sample_00006772,worried,-1.25
sample_00003810,angry,-3.75
sample_00000582,neutral,-1.0
sample_00002565,surprise,0.75
sample_00002311,happy,1.0
sample_00002968,worried,-2.0
sample_00001340,angry,-4.0
sample_00002045,neutral,0.25
sample_00005467,neutral,-0.75
sample_00003263,neutral,1.5
sample_00005911,angry,-2.5
sample_00005154,neutral,-0.25
sample_00006552,happy,1.75
sample_00002097,angry,-3.5
sample_00002254,happy,2.0
sample_00006647,happy,1.5
sample_00001142,angry,-0.5
sample_00006950,neutral,-0.5
sample_00003552,worried,-1.0
sample_00003759,angry,-2.5
sample_00000665,sad,-2.25
sample_00001068,surprise,-2.25
sample_00005258,neutral,0.0
sample_00003038,sad,-2.25
sample_00003430,neutral,0.75
sample_00002222,neutral,-0.25
sample_00002448,happy,2.25
sample_00000817,happy,1.5
sample_00002476,happy,1.75
sample_00001849,neutral,-0.5
sample_00005061,sad,-2.5
sample_00005984,neutral,-1.0
sample_00005140,sad,0.0
sample_00000296,angry,-4.0
sample_00000732,happy,1.75
sample_00000541,neutral,0.0
sample_00003266,sad,-1.25
sample_00001345,worried,-1.0
sample_00002174,neutral,1.0
sample_00004167,neutral,0.75
sample_00004198,sad,-3.75
sample_00002796,happy,1.75
sample_00006598,angry,-2.5
sample_00001009,angry,-3.5
sample_00007009,happy,2.25
sample_00003641,angry,-3.75
sample_00004056,neutral,1.5
sample_00006228,angry,-2.25
sample_00004679,sad,-1.0
sample_00000174,surprise,1.5
sample_00002709,angry,-3.25
sample_00005054,neutral,-1.25
sample_00003061,sad,-3.75
sample_00000220,surprise,-0.5
sample_00004218,sad,-2.0
sample_00004114,neutral,-0.75
sample_00000346,worried,-1.25
sample_00004017,angry,-2.75
sample_00000227,happy,1.75
sample_00004490,angry,-0.5
sample_00005988,happy,1.25
sample_00005118,happy,2.25
sample_00001871,sad,-1.75
sample_00000623,angry,-1.25
sample_00006559,happy,1.75
sample_00003349,neutral,0.0
sample_00000353,worried,-1.0
sample_00006753,neutral,-0.25
sample_00006993,angry,-3.25
sample_00000118,worried,-0.5
sample_00004826,happy,2.25
sample_00003347,neutral,0.75
sample_00002903,neutral,-1.0
sample_00000569,sad,-2.75
sample_00000716,angry,-3.0
sample_00002223,sad,-1.5
sample_00005972,neutral,-1.75
sample_00002865,sad,-2.25
sample_00002339,angry,-2.5
sample_00006291,angry,-4.25
sample_00000447,sad,-3.0
sample_00004291,angry,-2.25
sample_00003829,neutral,0.0
sample_00000633,happy,2.5
sample_00003497,angry,-3.0
sample_00005323,happy,1.5
sample_00003049,worried,-2.25
sample_00004546,angry,-2.0
sample_00001676,neutral,0.25
sample_00004395,worried,-1.25
sample_00001797,angry,-3.0
sample_00006847,neutral,1.25
sample_00006989,angry,-2.5
sample_00006245,neutral,0.75
sample_00005688,happy,2.5
sample_00006457,worried,-0.75
sample_00005592,sad,-3.0
sample_00005091,angry,-2.25
sample_00000225,angry,-1.0
sample_00005088,worried,-0.5
sample_00002836,sad,-2.5
sample_00003481,worried,-0.75
sample_00002588,neutral,1.25
sample_00003269,neutral,-0.75
sample_00000208,happy,2.75
sample_00004996,neutral,-1.25
sample_00002325,happy,2.25
sample_00004662,angry,-2.5
sample_00005708,sad,-3.25
sample_00006653,angry,-2.5
sample_00000256,sad,-3.5
sample_00001055,angry,-1.75
sample_00005115,happy,1.0
sample_00001932,angry,-3.5
sample_00005889,angry,-1.75
